,date,open,close,high,low,volume,money
289,2022-03-15,3345.95,3211.42,3350.89,3211.42,46443286600.0,507670464600.0
290,2022-03-16,3257.28,3323.35,3330.77,3168.68,44420784900.0,522007322600.0
291,2022-03-17,3369.82,3369.75,3417.13,3357.09,42040343600.0,532215321600.0
292,2022-03-18,3361.48,3407.57,3417.75,3351.19,37266158900.0,428181324600.0
293,2022-03-21,3412.3,3410.16,3424.73,3378.35,35390854400.0,420870577700.0
294,2022-03-22,3405.82,3416.64,3436.91,3395.34,36093395300.0,402622532500.0
295,2022-03-23,3421.82,3428.37,3437.67,3408.38,34963715600.0,405271736800.0
296,2022-03-24,3412.7,3406.56,3424.03,3392.28,32875520600.0,390573198100.0
297,2022-03-25,3403.3,3366.68,3413.76,3366.04,33973689600.0,389628098800.0
298,2022-03-28,3338.27,3369.07,3385.55,3311.7,34470466900.0,374300702900.0
299,2022-03-29,3370.68,3357.94,3384.44,3350.09,31595362800.0,363760962500.0
300,2022-03-30,3372.26,3423.74,3423.74,3370.9,36634292100.0,412714932100.0
301,2022-03-31,3412.75,3408.61,3429.46,3402.18,39811802200.0,427895813800.0
302,2022-04-01,3390.19,3440.64,3445.39,3381.4,37785283300.0,405433473700.0
303,2022-04-06,3426.7,3441.33,3446.31,3412.27,42917923300.0,433278716400.0
304,2022-04-07,3424.95,3392.36,3448.51,3392.13,40219280900.0,397840999900.0
305,2022-04-08,3395.69,3408.23,3413.79,3362.65,41342737200.0,413774831100.0
306,2022-04-11,3395.64,3319.34,3395.64,3308.19,42370876700.0,434852519900.0
307,2022-04-12,3317.22,3367.82,3369.03,3291.75,41783700800.0,422143103500.0
308,2022-04-13,3353.55,3339.98,3380.58,3336.55,39063266200.0,397895934300.0
309,2022-04-14,3357.64,3380.73,3395.81,3354.14,37071109500.0,400861563900.0
310,2022-04-15,3365.03,3365.69,3385.23,3354.09,40720819400.0,413070125800.0
311,2022-04-18,3339.12,3349.13,3358.08,3319.24,34704579700.0,366175361700.0
312,2022-04-19,3345.53,3347.55,3362.06,3327.29,33959917900.0,362523515200.0
313,2022-04-20,3343.21,3302.51,3345.26,3293.06,36163323700.0,373293149100.0
314,2022-04-21,3289.28,3227.82,3312.87,3217.18,39155431700.0,396306317800.0
315,2022-04-22,3205.35,3235.27,3254.92,3195.88,34171976900.0,348617454800.0
316,2022-04-25,3179.98,3069.17,3190.09,3069.16,43306452500.0,426727346100.0
317,2022-04-26,3071.16,3025.03,3099.74,3016.48,40128645200.0,395732757200.0
318,2022-04-27,3004.42,3100.34,3101.28,3001.1,42268366600.0,422635904200.0
319,2022-04-28,3087.22,3118.4,3135.21,3077.86,37499746000.0,388418286300.0
320,2022-04-29,3129.51,3193.33,3194.88,3110.79,42344369500.0,440052316200.0
